id,winner,votesone,votestwo
1-1,T,41,50
1-2,T,14,58
1-5,O,19,128
1-6,O,80,16
2-1,O,37,111
2-2,T,26,28
2-3,O,12,10
2-4,T,157,44
2-6,O,79,29
2-6A,O,6,2
2-7,O,75,15
3-1,O,40,171
3-3,T,1,1
3-5,O,25,11
3-8,O,84,26
3-9,O,41,28
3-12,T,110,91
3-14,T,36,57
3-15,O,49,27
3-18,O,92,52
3-19,O,55,115
3-20,T,33,52
4-2,O,67,58
4-3,O,37,17
4-4,O,39,14
4-5,O,33,20
4-6,T,18,23
4-7,T,16,42
4-8,O,29,105
4-9,O,46,219
4-11,T,22,68
4-14,O,27,243
4-15,O,26,170
4-17,O,26,164
4-17A,O,12,100
4-18,O,30,185
4-20,T,10,137
4-21,T,17,89
4-22,O,20,144
4-23,O,14,125
5-1,T,14,60
5-2,T,11,74
5-3,O,20,103
5-4,O,29,2
5-5,O,61,12
5-7,O,77,16
5-8,O,54,13
5-9,O,59,24
5-10,T,35,38
5-11,T,28,64
5-12,O,58,106
5-13,O,31,128
5-15,O,60,194
5-16,T,27,88
5-17,O,17,160
5-18,O,22,144
6-1,T,29,99
6-2,O,32,149
6-4,O,78,44
6-6,T,159,57
6-7,O,76,29
6-8,O,48,100
6-9,O,38,158
7-1,O,46,132
7-2,T,39,74
7-4,O,57,21
7-5,O,99,20
7-6,O,94,24
7-7,T,117,12
7-8,T,125,18
7-9A,O,79,6
7-10,O,67,10
7-11,O,85,28
7-12,O,92,75
7-13,O,94,13
7-14,O,96,20
7-15,T,127,39
7-16,T,142,30
7-17,T,42,93
7-18,T,192,60
7-19,T,156,52
7-20,T,215,28
7-21,T,128,25
7-23,T,264,53
7-24,T,62,7
7-25,T,189,41
7-25A,T,136,29
7-26,T,204,40
7-27,O,74,20
7-27B,O,79,13
7-28,T,121,34
7-28A,T,150,38
7-29,T,136,30
7-30,T,240,76
7-32,O,84,49
7-33,O,59,20
7-34,T,48,5
7-35,T,191,43
7-37,T,115,43
7-37A,O,25,22
7-40,O,137,103
7-41,T,22,45
7-42,T,28,68
8-1,T,23,87
8-2,O,29,110
8-4,O,46,34
8-6,O,71,38
8-7,O,74,16
8-8,O,81,17
8-9,T,134,31
8-12,T,157,34
8-13,O,75,3
8-14,T,100,13
8-15,T,259,58
8-19,T,186,63
8-20,T,105,36
8-21,T,128,62
8-22,T,105,48
8-23,T,121,94
8-24,O,96,48
8-25,T,182,52
8-26,T,143,49
8-27,T,111,34
8-28,O,136,104
8-30,T,200,50
9-1,T,147,52
9-3,O,95,13
9-3A,T,49,5
9-4,O,80,21
9-5,O,56,13
9-5A,O,79,12
9-6B,T,35,5
9-6C,T,33,8
9-6D,O,63,13
9-6E,T,41,8
9-6F,O,49,11
9-7,O,86,43
9-8,T,62,9
9-8A,O,95,20
9-9,T,36,62
9-10,T,165,40
9-11,T,27,51
9-12,T,40,94
9-13,T,25,86
9-14,T,37,67
9-15,T,51,66
9-16,T,51,69
9-17,O,88,20
9-19,O,72,32
9-21,T,138,23
9-23,O,96,17
9-25,T,178,30
9-26,O,64,11
9-28,O,81,17
9-28C,O,43,4
9-28E,T,106,11
9-29,T,36,6
9-30,T,141,55
9-30A,T,114,14
9-31,T,109,27
9-31A,T,180,36
9-31B,T,126,23
9-31D,T,179,48
9-32,T,31,6
9-33,T,161,37
9-34A,T,105,20
9-35,O,61,12
9-35A,O,72,13
9-36,T,119,26
9-36B,T,175,40
9-37,T,158,18
9-38,T,110,12
9-38A,T,126,27
9-39,T,223,28
9-39B,O,96,16
9-40,T,145,36
9-40A,T,192,37
9-40C,T,115,18
9-41,T,171,61
9-41A,O,42,18
9-41B,T,193,47
9-41C,O,40,21
9-41D,O,65,38
9-42,T,279,44
9-42C,T,177,33
9-43A,T,226,49
9-43B,T,137,17
9-43C,T,250,49
9-43E,O,80,21
9-43F,T,142,36
9-43G,T,169,24
9-43H,O,34,12
9-43I,T,122,33
9-43J,T,111,19
9-43K,T,143,24
9-43L,T,144,24
9-43M,T,111,20
9-43N,T,154,42
9-44,T,190,30
9-44A,T,151,34
9-44B,T,132,27
9-44D,T,156,41
9-44E,T,373,79
9-44F,T,230,63
9-44G,T,132,27
9-44I,T,212,39
9-44J,T,154,36
9-44L,T,213,42
9-44M,T,227,65
9-44N,T,211,48
9-44O,T,127,30
9-44P,T,350,77
