id,winner,votesone,votestwo
1-1,O,52,47
1-2,T,24,49
1-5,T,70,72
1-6,O,63,43
2-1,O,65,114
2-2,O,35,28
2-3,T,12,12
2-4,T,162,60
2-6,O,75,46
2-6A,O,7,4
2-7,O,62,36
3-1,T,126,139
3-3,T,1,1
3-5,O,20,16
3-8,O,73,50
3-9,T,30,39
3-12,O,108,106
3-14,T,44,63
3-15,O,51,32
3-18,O,97,65
3-19,O,98,87
3-20,O,58,43
4-2,T,71,71
4-3,O,27,21
4-4,O,31,21
4-5,O,40,23
4-6,T,21,24
4-7,T,37,37
4-8,T,73,94
4-9,T,154,188
4-11,T,62,66
4-14,T,145,224
4-15,O,85,145
4-17,O,80,162
4-17A,T,70,83
4-18,O,97,183
4-20,O,66,110
4-21,O,60,108
4-22,O,84,147
4-23,O,92,132
5-1,T,44,56
5-2,O,48,35
5-3,T,59,70
5-4,O,18,13
5-5,O,39,27
5-7,O,54,34
5-8,O,38,16
5-9,O,52,37
5-10,T,33,39
5-11,T,34,60
5-12,O,72,123
5-13,O,82,105
5-15,T,135,172
5-16,T,69,70
5-17,T,107,155
5-18,T,123,156
6-1,O,99,64
6-2,T,116,87
6-4,O,67,52
6-6,T,124,69
6-7,O,61,44
6-8,T,68,85
6-9,O,96,135
7-1,T,120,95
7-2,O,74,64
7-4,O,54,27
7-5,O,69,46
7-6,O,80,37
7-7,O,79,50
7-8,O,81,52
7-9A,O,51,25
7-10,O,46,22
7-11,O,72,40
7-12,T,100,82
7-13,O,65,45
7-14,O,64,46
7-15,O,89,81
7-16,O,90,54
7-17,T,75,96
7-18,O,143,108
7-19,T,126,83
7-20,T,137,88
7-21,O,85,52
7-23,O,203,105
7-24,O,46,23
7-25,T,121,83
7-25A,T,107,63
7-26,O,124,103
7-27,O,58,31
7-27B,O,54,30
7-28,O,91,63
7-28A,T,108,77
7-29,T,105,71
7-30,T,157,159
7-32,T,67,93
7-33,T,42,54
7-34,O,28,24
7-35,O,138,115
7-37,O,87,78
7-37A,O,31,23
7-40,T,143,147
7-41,O,81,77
7-42,O,81,105
8-1,T,51,89
8-2,T,71,80
8-4,O,55,31
8-6,O,64,40
8-7,O,46,41
8-8,O,58,36
8-9,T,107,59
8-12,T,111,63
8-13,O,46,31
8-14,O,74,40
8-15,O,165,152
8-19,O,122,112
8-20,O,79,62
8-21,O,95,125
8-22,T,80,82
