id,winner,votesone,votestwo
4-2,O,94,52
5-1,O,92,19
5-2,O,81,20
5-3,T,109,36
5-4,O,7,22
6-1,T,148,32
6-2,T,174,59
6-4,T,56,79
7-1,T,166,69
7-2,T,100,58
7-4,T,29,66
7-5,T,17,53
7-6,T,23,59
8-1,T,108,37
8-2,T,101,62
8-4,T,35,54
8-6,T,41,79
9-9,O,68,45
9-11,T,46,49
9-12,O,96,59
9-13,O,80,38
9-14,T,47,73
9-15,T,72,74
9-16,T,56,65
9-19,T,45,68
15-1,T,137,20
15-2,T,220,97
15-3,O,98,20
15-5,T,30,81
15-6,O,54,117
15-8,T,37,92
15-9,O,43,103
15-10,O,51,172
15-11,O,27,125
15-12,T,37,53
15-12A,O,37,130
15-13,O,60,101
15-13A,O,66,196
15-13B,O,44,123
15-14,T,136,97
15-14A,O,60,114
15-14B,O,93,126
15-14C,O,99,94
15-14D,T,32,70
15-14E,O,70,148
15-14F,O,73,114
15-14G,O,90,113
15-15,O,74,117
15-15A,O,154,108
15-15B,T,151,37
15-16,T,141,154
15-17,T,190,89
15-17A,T,126,73
15-17B,T,150,76
15-18,O,81,57
15-18A,T,146,96
15-18B,O,91,138
15-18C,T,182,98
15-18D,T,180,303
15-18E,O,314,209
15-18F,O,224,142
15-19,O,49,173
15-19A,O,301,129
15-19B,O,23,121
15-19C,O,71,268
