id,winner,votesone,votestwo
1-1,T,0,0
1-2,T,0,0
1-5,T,0,0
1-6,T,0,0
2-1,T,0,0
2-2,T,0,0
2-3,T,0,0
2-4,T,0,0
2-6,T,0,0
2-6A,T,0,0
2-7,T,0,0
3-1,T,0,0
3-3,T,0,0
3-5,T,0,0
3-8,T,0,0
3-9,T,0,0
3-12,T,0,0
3-14,T,0,0
3-15,T,0,0
3-18,T,0,0
3-19,T,0,0
3-20,T,0,0
4-2,T,0,0
4-3,T,0,0
4-4,T,0,0
4-5,T,0,0
4-6,T,0,0
4-7,T,0,0
4-8,T,0,0
4-9,T,0,0
4-11,T,0,0
4-14,T,0,0
4-15,T,0,0
4-17,T,0,0
4-17A,T,0,0
4-18,T,0,0
4-20,T,0,0
4-21,T,0,0
4-22,T,0,0
4-23,T,0,0
5-1,T,0,0
5-2,T,0,0
5-3,T,0,0
5-4,T,0,0
5-5,T,0,0
5-7,T,0,0
5-8,T,0,0
5-9,T,0,0
5-10,T,0,0
5-11,T,0,0
5-12,T,0,0
5-13,T,0,0
5-15,T,0,0
5-16,T,0,0
5-17,T,0,0
5-18,T,0,0
6-1,T,0,0
6-2,T,0,0
6-4,T,0,0
6-6,T,0,0
6-7,T,0,0
6-8,T,0,0
6-9,T,0,0
7-1,T,0,0
7-2,T,0,0
7-4,T,0,0
7-5,T,0,0
7-6,T,0,0
7-7,T,0,0
7-8,T,0,0
7-9A,T,0,0
7-10,T,0,0
7-11,T,0,0
7-12,T,0,0
7-13,T,0,0
7-14,T,0,0
7-15,T,0,0
7-16,T,0,0
7-17,T,0,0
7-18,T,0,0
7-19,T,0,0
7-20,T,0,0
7-21,T,0,0
7-23,T,0,0
7-24,T,0,0
7-25,T,0,0
7-25A,T,0,0
7-26,T,0,0
7-27,T,0,0
7-27B,T,0,0
7-28,T,0,0
7-28A,T,0,0
7-29,T,0,0
7-30,T,0,0
7-32,T,0,0
7-33,T,0,0
7-34,T,0,0
7-35,T,0,0
7-37,T,0,0
7-37A,T,0,0
7-40,T,0,0
7-41,T,0,0
7-42,T,0,0
8-1,T,0,0
8-2,T,0,0
8-4,T,0,0
8-6,T,0,0
8-7,T,0,0
8-8,T,0,0
8-9,T,0,0
8-12,T,0,0
8-13,T,0,0
8-14,T,0,0
8-15,T,0,0
8-19,T,0,0
8-20,T,0,0
8-21,T,0,0
8-22,T,0,0
8-23,T,0,0
