id,winner,votesone,votestwo
1-1,T,42,52
1-2,O,33,31
1-5,T,69,85
1-6,T,21,73
2-1,T,68,91
2-2,O,31,25
2-3,O,4,20
2-4,O,43,177
2-6,T,23,94
2-6A,T,3,6
2-7,T,10,78
3-1,O,132,123
3-3,T,1,2
3-5,T,13,20
3-8,T,32,85
3-9,T,11,42
3-12,O,59,135
3-14,O,40,38
3-15,T,38,51
3-18,T,44,87
3-19,O,84,76
3-20,O,57,35
4-2,T,66,66
4-3,T,19,36
4-4,T,22,29
4-5,T,21,38
4-6,O,20,17
4-7,O,49,18
4-8,O,81,56
4-9,O,218,125
4-11,O,84,44
4-14,O,286,121
4-15,T,179,74
4-17,T,196,76
4-17A,T,113,63
4-18,O,208,108
4-20,T,131,52
4-21,T,111,59
4-22,T,165,87
4-23,T,142,97
5-1,O,63,34
5-2,O,71,24
5-3,O,93,46
5-4,O,4,22
5-5,T,12,50
5-7,T,19,74
5-8,T,13,39
5-9,T,15,61
5-10,T,20,41
5-11,T,40,42
5-12,T,81,86
5-13,T,103,67
5-15,O,184,108
5-16,O,80,47
5-17,O,145,121
5-18,O,197,128
6-1,O,90,74
6-2,T,123,78
6-4,T,33,69
6-6,O,46,154
6-7,T,20,69
6-8,T,52,80
6-9,T,102,103
7-1,T,122,70
7-2,O,74,51
7-4,T,26,47
7-5,T,23,85
7-6,T,20,92
7-7,T,34,89
7-8,O,30,120
7-9A,O,8,65
7-10,T,19,59
7-11,T,27,86
7-12,T,64,99
7-13,T,22,81
7-14,T,22,85
7-15,O,36,105
7-16,O,31,120
7-17,O,87,65
7-18,O,62,173
7-19,O,45,156
7-20,O,44,181
7-21,O,31,114
7-23,O,71,233
7-24,T,11,59
7-25,O,39,162
7-25A,O,29,146
7-26,O,47,186
7-27,T,15,63
7-27B,T,24,64
7-28,O,27,126
7-28A,O,29,165
7-29,O,19,142
7-30,O,67,243
7-32,O,43,114
7-33,T,31,66
7-34,T,10,42
7-35,O,61,170
7-37,O,46,116
7-37A,T,24,31
7-40,T,136,149
7-41,T,110,80
7-42,T,132,82
8-1,O,70,39
8-2,O,66,40
8-4,T,24,46
8-6,T,27,74
8-7,T,19,63
8-8,T,20,78
8-9,O,25,128
8-12,O,33,139
8-13,T,15,64
8-14,T,27,74
8-15,O,59,254
8-19,O,55,177
8-20,O,39,104
8-21,O,54,177
8-22,O,57,104
8-23,O,63,186
8-24,O,31,116
8-25,O,45,198
8-26,O,48,136
8-27,T,25,95
8-28,O,92,190
8-30,O,42,170
9-1,O,49,137
9-3,T,20,87
9-3A,T,12,43
9-4,T,28,66
9-5,O,9,56
9-5A,T,10,65
9-6B,T,2,33
9-6C,O,4,31
9-6D,T,13,60
9-6E,T,13,29
9-6F,T,11,49
9-7,T,19,85
9-8,T,10,54
9-8A,T,13,91
9-9,T,41,43
9-10,O,40,146
9-11,T,34,37
9-12,T,58,64
9-13,O,56,42
9-14,T,40,41
9-15,T,47,58
9-16,O,49,47
9-17,T,29,81
9-19,T,27,63
9-21,O,38,110
9-23,T,25,76
9-25,O,27,172
9-26,O,7,63
9-28,T,10,71
9-28C,O,4,29
9-28E,T,19,76
9-29,T,12,35
9-30,O,39,140
9-30A,T,21,97
9-31,O,32,102
9-31A,O,36,174
9-31B,O,20,117
9-31D,O,21,174
9-32,T,13,25
9-33,O,32,127
9-34A,O,18,101
9-35,O,9,60
9-35A,O,9,64
9-36,T,37,88
9-36B,O,37,159
9-37,O,34,119
9-38,T,36,73
9-38A,T,30,96
9-39,O,41,182
9-39B,T,24,66
9-40,O,28,130
9-40A,O,40,144
9-40C,T,33,94
9-41,O,54,150
9-41A,O,42,40
9-41B,O,72,168
9-41C,O,43,36
9-41D,T,44,67
9-42,O,53,244
9-42C,O,40,152
9-43A,O,66,173
9-43B,O,24,115
9-43C,O,51,218
9-43E,T,16,72
9-43F,O,44,118
9-43G,O,32,150
9-43H,O,6,27
9-43I,T,25,99
9-43J,T,18,86
9-43K,O,28,122
9-43L,O,34,101
9-43M,T,34,87
9-43N,O,29,142
9-44,O,39,149
9-44A,O,47,119
9-44B,O,41,106
9-44D,O,50,146
9-44E,O,87,293
9-44F,O,50,198
9-44G,O,31,112
9-44I,O,45,168
9-44J,O,44,130
9-44L,O,33,204
9-44M,O,41,227
9-44N,O,36,187
9-44O,T,28,99
9-44P,O,75,302
9-44Q,O,46,141
9-45,T,118,41
9-45A,O,23,10
10-3,T,42,99
10-6,T,46,90
10-7,T,35,40
10-8,O,62,44
10-9,O,78,64
10-11,T,49,73
10-12,T,28,80
10-13,T,18,64
10-14,T,28,86
11-2,T,41,84
11-3,T,30,51
